山	山 ①坟墓②山林③山岭
批	批 ①猜测②租赁、租用
抵	抵 ①活该②合算、值得
挞	挞 ①欠债不还②露出来
挼	挼 两掌或两指搓揉、捻
掯	掯 ①有能力②凶、好斗
揈	揈 向下挥手摆动，甩手
揽	揽 ①拥抱②提起来，拔
搅	搅 ①搅动②玩耍、戏弄
撚	撚 用大拇指、食指搓动
擸	擸 ①用双手抱住②量词
栏	栏 毛线，也写作“唥”
燅	燅 放在火上烘干、烤干
狼	狼 ①兽名②勇猛、凶狠
碟	碟 ①盘子②用大刀砍削
礼	礼 ①礼节②礼貌③斜看
秋	秋 立秋或其前后的时间
笠	笠 ①竹签，框子②罩住
箦	箦 较高的箱子，今少用
糟	糟 ①糟蹋②指酒糟的糟
肥	肥 ①肥②胖③土地肥沃
脚	脚 大小腿和脚丫的合称
郁	郁 内心不舒畅，有委屈
飙	飙 ①疾驰、狂奔②冒出
𪥕	𪥕 钝、不尖锐、不锋利
䦁	䦁 很宽、很薄的一种铁锄
企	企 ①站立②笔画中的竖笔
侉	侉 外地人说本地话音不正
啖	啖 如“一啖”即“一口”
嗳	嗳 胃纳过多，食物吐出来
姣	姣 ①女人性欲发作②浪荡
学	学 ①像、好像②学习、学
宰	宰 用手指钳住肉扭转过来
平	平 ①便宜②平坦③使之平
挽	挽 ①藏在怀中②卷起、挽
掉	掉 遭、趟，如“走一掉”
摼	摼 ①敲、槌②额部突出貌
散	散 中医术语，发散、破败
湇	湇 器内液体因摇动而外溢
炙	炙 在燃烧着的炭灰中烧熟
田	田 耕地中有水的，如稻田
缆	缆 大绳子，多指船上用的
膥	膥 ①卵②阳性动物的阴囊
螆	螆 虾子般小的有害的昆虫
褪	褪 ①解衣服②后延，后退
败	败 ①破产②败坏（名声）
采	采 在，是“在”字的音变
钻	钻 ①穿孔洞的用具②钻石
锹	锹 ①锨，铲土的工具②铲
𨳍	𨳍 （借字）男性外生殖器
乜	乜 ①或者、或、还是②什么
伞	伞 袖伞或皇帝出游用的大伞
储	储 储蓄、积累，如“储钱”
兴	兴 ①开始创办②时兴、时髦
吃	吃 ①吃②喝③吸、抽（烟）
嗒	嗒 ①嗒嘴②放在舌面慢慢吃
应	应 ①再②已经③回答、搭腔
扇	扇 ①扇子②打③平薄地切削
拗	拗 ①弯折②横蛮地争辩③睡
改	改 这里，是“该”字的音变
激	激 激动、气、生气、使生气
相	相 ①机灵②讥讽③喜欢挑剔
睺	睺 对着看，围观。粘着不走
纰	纰 绳子或衣服擦损了一部分
缿	缿 破烂的瓦器或瓦器的碎片
袭	袭 双手把物按住，不使移动
载	载 ①盛②装载、记载、登载
较	较 ①对比、较量②兑③合页
迳	迳 纵横交织起来的纱线或丝
酬	酬 用牺牲祭品向神表示谢意
钵	钵 陶制器具，高身盘的一种
闩	闩 ①被物勾住②门闩③关闭
陂	陂 石头水坝，又叫“陂头”
鸡	鸡 ①哨子②妓女③枪的扳机
𡰪	𡰪 器物的底部或房屋的角落
𢲲	𢲲 用横放的木棍架住，盛住
𬉼	𬉼 烧柴火、垃圾，不使猛燃
䆔	䆔 弯下腰来，如“审紧插秧”
佮	佮 ①接合、套上②对等地顶数
儑	儑 呆，精神不振作，疲乏不堪
匎	匎 ①浪费掉了②（植物）倒伏
匿	匿 ①不加柴，用慢火煮②躲藏
叮	叮 ①扎进去②螫，如蜜蜂叮人
味	味 ①气味②味道③代替“盐”
引	引 ①植物嫩芽②鞭炮的引火线
执	执 ①收拾②检、拾③抓④生养
拂	拂 ①兽类的尾左右摆动②挥水
拱	拱 ①这样②建筑物有弧的地方
朒	朒 肥，小孩很胖叫“肥朒朒”
杛	杛 一根大树枝叫“一杛树枝”
歹	歹 ①猫屎、猪尿的臭味②吝啬
泑	泑 釉，瓦器外面有光泽的一层
益	益 ①益处，利益②使得到益处
真	真 ①清楚、明显②真正、不假
肫	肫 ①不机灵、傻气②禽类的胃
覆	覆 ①猜疑②把容器反过来放置
边	边 哪儿、哪。与“边处”同义
麸	麸 花生、黄豆等炸油后的渣子
䋎	䋎 缝衣服时用线很稀疏地缝一下
伏	伏 ①躲藏②把头伏在臂上或桌上
冻	冻 冷。涧、冻、冷程度依次增加
咸	咸 ①与“盐”是同义词②指味道
地	地 水田以外的耕地、土地、地面
愀	愀 突然头晕失去知觉叫“着愀”
戆	戆 ①笨、不敏感、不讲理②傻癫
抔	抔 ①摇（手）、挥（手）②拨开
燥	燥 ①干、不润，燥热②性情暴躁
猛	猛 ①有权势、有地位②火势旺盛
皱	皱 平滑的衣物、纸张变成有皱纹
筹	筹 计算搬运工作量的木片、竹片
绲	绲 在衣服边缘加花边叫“绲边”
胲	胲 鸟等禽类的嗪囊，如“鸡胲”
荡	荡 游荡、逛，如“其至好去荡”
菜	菜 青菜，专指青菜，不包括肉类
铎	铎 ①啄②棍状物末端特别大的地
霜	霜 微冷，像早晨接触霜时的感觉
𢯎	𢯎 搔，如“我𢯎痒”（我搔痒）
𪮶	𪮶 从上面一点点滴下来，类似淋
劙	劙 ①用刀来回割切②薄物嵌入缝中
勃	勃 ①横打、横扫②流浪，无事可做
忍	忍 ①憋着大小便不拉②容忍、忍让
擤	擤 ①擤鼻涕②用钱大方叫“大擤”
炕	炕 把食品放锅里用文火炒干、烘干
煠	煠 放在大锅里加大量水用大火烧煮
甩	甩 ①逃脱，脱开②不留神陷到坑里
铲	铲 ①铁锨②用铲铲土或起土的动作
铺	铺 ①商店②十华里路叫“一铺路”
闸	闸 ①街道或小巷防盗的门棚②水闸
驶	驶 ①航行②使唤③用，如“驶钱”
骾	骾 喉头有鱼刺之类的东西不能咽下
𠺘	𠺘 把水放在器皿（或口腔内）摇动
𪖐	𪖐 嘴角向上弯，瞧不起人时的嘴型
㓟	㓟 ①用小刀削东西②批评③使劲学习
㧻	㧻 用尖的、较小的工具或棍棒刺东西
